idea,success
cassette tape business,0
dvd rental shop,0
cd burning shop,0
fax machine repair,0
manual typing service,0
job portal platform,1
telephone booth service,0
telemedicine platform,1
virtual event platform,1
manual typing service,0
cybersecurity solution,1
AI chatbot for students,1
language learning app,1
home automation system,1
women safety app,1
telemedicine platform,1
cyber cafe with old computers,0
renewable energy startup,1
analog clock repair,0
cyber cafe with old computers,0
cyber cafe with old computers,0
cybersecurity solution,1
film camera processing,0
fax machine repair,0
telephone booth service,0
dvd rental shop,0
floppy disk sales,0
cybersecurity solution,1
physical dictionary sales,0
telephone booth service,0
physical dictionary sales,0
cybersecurity solution,1
online learning app,1
smart farming platform,1
floppy disk sales,0
analog clock repair,0
home automation system,1
job portal platform,1
cloud kitchen startup,1
film camera processing,0
job portal platform,1
old printing press,0
AI recruitment platform,1
women safety app,1
online learning app,1
telephone booth service,0
digital payment system,1
renewable energy startup,1
telephone booth service,0
job portal platform,1
women safety app,1
old newspaper printing,0
online learning app,1
typewriter repair center,0
telephone booth service,0
cloud kitchen startup,1
offline ticket booking center,0
pager communication business,0
online doctor consultation,1
telemedicine platform,1
smart farming platform,1
women safety app,1
smart farming platform,1
AI stock market assistant,1
virtual event platform,1
physical dictionary sales,0
online doctor consultation,1
old printing press,0
cloud kitchen startup,1
virtual event platform,1
AI healthcare assistant,1
manual typing service,0
dvd rental shop,0
home automation system,1
physical dictionary sales,0
fitness tracking app,1
fitness tracking app,1
telemedicine platform,1
pager communication business,0
cd burning shop,0
vcr rental shop,0
AI healthcare assistant,1
telephone booth service,0
landline phone repair,0
language learning app,1
film camera processing,0
home automation system,1
vcr rental shop,0
virtual event platform,1
floppy disk sales,0
home automation system,1
AI stock market assistant,1
cloud kitchen startup,1
online learning app,1
physical dictionary sales,0
cyber cafe with old computers,0
analog clock repair,0
AI chatbot for students,1
women safety app,1
telephone booth service,0
AI stock market assistant,1
AI chatbot for students,1
telemedicine platform,1
manual telegram service,0
renewable energy startup,1
online doctor consultation,1
online learning app,1
cassette tape business,0
cd burning shop,0
food delivery app,1
online doctor consultation,1
food delivery app,1
food delivery app,1
electric vehicle charging station,1
manual typing service,0
analog clock repair,0
home automation system,1
telemedicine platform,1
AI chatbot for students,1
offline ticket booking center,0
vcr rental shop,0
AI stock market assistant,1
old printing press,0
cd burning shop,0
vcr rental shop,0
home automation system,1
analog clock repair,0
AI chatbot for students,1
home automation system,1
pager communication business,0
telephone booth service,0
AI stock market assistant,1
old radio repair,0
job portal platform,1
old newspaper printing,0
AI chatbot for students,1
cd burning shop,0
dvd rental shop,0
offline ticket booking center,0
vcr rental shop,0
electric vehicle charging station,1
pager communication business,0
cyber cafe with old computers,0
pager communication business,0
